date,type,category,keyword,value
2021-01-12,daily,Tragedy,Lakhimpur Kheri,0.1
2021-01-12,daily,Tragedy,Cyclone Tauktae,0.1
2021-01-12,daily,Tragedy,Cyclone Yaas,0.1
2021-01-12,daily,Tragedy,Cyclone Gulab,0.1
2021-01-12,daily,Tragedy,Cyclone Jawad,0.1
2021-01-12,daily,Politics,Pegasus,0.110424242424242
2021-01-12,daily,Entertainment,Aryan Khan,0.1
2021-01-12,daily,Elections,UP Election,0.337902503293808
2021-01-12,daily,Politics,Bulli Bai app,0.1
2021-01-12,daily,Tragedy,Vaishno Devi stampede,0.1
2021-01-12,daily,"Festival, Days",Ayodhya Deepotsav,0.1
2021-01-12,daily,"Violence, war",Assam Mizoram Border Dispute,0.1
2021-01-12,daily,Tragedy,Uttarakhand flood,0.1
2021-01-12,daily,Elections,KMC Election 2021 Results,0.1
2021-01-12,daily,Politics,Panama Papers,0.1
2021-01-12,daily,Sports,Vijay Hazare Trophy,0.1
2021-01-12,daily,Sports,Novak Djokovic,0.100289855072464
2021-01-12,daily,World,Suez Canal Crisis,0.1
2021-01-12,daily,Business,cryptocurrency,0.471399209486166
2021-01-12,daily,"Festival, Days",Kumbh Mela,0.274951251646904
2021-01-12,daily,Sports,Tokyo Olympics,0.1
2021-01-12,daily,health,Delta variant,0.1
2021-01-12,daily,Business,Jack Dorsey quits,0.1
2021-01-12,daily,"Violence, war",Nagaland Killings,0.1
2021-01-12,daily,Sports,IPL Auction,0.318954378954379
2021-01-12,daily,Business,Pandora Papers,0.1
2021-01-12,daily,Sports,India vs South Africa,0.164102564102564
2021-01-12,daily,Sports,Eurocup,0.1
2021-01-12,daily,Health,COVID Vaccine,1.51496503496504
2021-01-12,daily,Business,Elon Musk,4.32472194472195
2021-01-12,daily,Entertainment,Vicky Kaushal,0.139340659340659
2021-01-12,daily,Sports,bajrang Punia,0.1
2021-01-12,daily,Sports,P V Sindhu,0.1
2021-01-12,daily,Sports,Sushil Kumar,0.1
2021-01-12,daily,Sports,Paralympics,0.1
2021-01-12,daily,Sports,IPL,3.08666666666667
2021-01-12,daily,Entertainment,Shershaah,0.1
2021-01-12,daily,Entertainment,Sooryavanshi,0.146666666666667
2021-01-12,daily,Entertainment,Drishyam 2,0.12
2021-01-12,daily,health,Bird Flu,4.20058823529412
2021-01-12,daily,Sports,Copa America,0.1
2021-01-12,daily,Sports,Wimbledon,0.1
2021-01-12,daily,Sports,English Premier League,0.165770750988142
2021-01-13,daily,Sports,T20 World Cup,0.190808080808081
2021-01-13,daily,Health,Omicron,0.1
2021-01-13,daily,Tragedy,Bipin Rawat Death,0.1
2021-01-13,daily,"Festival, Days",Independence Day,0.376212121212121
2021-01-13,daily,Business,Zomato IPO,0.1
2021-01-13,daily,Business,PayTM IPO,0.1
2021-01-13,daily,Business,nykaa IPO,0.1
2021-01-13,daily,Elections,West Bengal Election,0.117095673831826
2021-01-13,daily,Health,coronavirus,9.60357142857142
2021-01-13,daily,World,Taliban,0.107222222222222
2021-01-13,daily,Governance,Air India Divestment,0.1
2021-01-13,daily,Sports,Neeraj Chopra,0.1
2021-01-13,daily,Entertainment,Raj Kundra,0.1
2021-01-13,daily,"Violence, war",Myanmar coup,0.1
2021-01-13,daily,Business,NFT,0.1
